"ticker","added","removed","needs_review","mcap_usd","in_trade","as_of"
"TSM","","","False","12384595735494","True","2026-06-30"
"NVDA","","","False","4842178000000","True","2026-06-30"
"GOOGL","","","False","4329894920000","True","2026-06-30"
"GOOG","","","False","4280946280000","True","2026-06-30"
"AAPL","","","False","4249933332160","False","2026-06-30"
"MSFT","","","False","2770954713286","False","2026-06-30"
"AMZN","","","False","2563849462976","True","2026-06-30"
"AVGO","","","False","1797175919794","True","2026-06-30"
"TSLA","","","False","1578272892470","True","2026-06-30"
"META","","","False","1429868462910","False","2026-06-30"
"MU","","","False","1303647220267","True","2026-06-30"
"LLY","","","False","1129552988772","True","2026-06-30"
"BRK-B","","","False","1079268071480","False","2026-06-30"
"AMD","","","False","947232217201","True","2026-06-30"
"WMT","","","False","901332045095","False","2026-06-30"
"JPM","","","False","877084472453","True","2026-06-30"
"ASML","","","False","766765280915","True","2026-06-30"
"INTC","","","False","701780380000","True","2026-06-30"
"V","","","False","652469280342","False","2026-06-30"
"JNJ","","","False","611360894124","True","2026-06-30"
"AMAT","","","False","574032667890","True","2026-06-30"
"XOM","","","False","566697175988","False","2026-06-30"
"LRCX","","","False","541909931430","True","2026-06-30"
"CAT","","","False","490532368987","True","2026-06-30"
"CSCO","","","False","462960915750","True","2026-06-30"
"MA","","","False","453808667928","False","2026-06-30"
"ABBV","","","False","444595745476","True","2026-06-30"
"ORCL","","","False","422133025050","False","2026-06-30"
"COST","","","False","414861116777","False","2026-06-30"
"BAC","","","False","404363735293","True","2026-06-30"
"GE","","","False","389926424836","True","2026-06-30"
"UNH","","","False","377452058634","False","2026-06-30"
"HD","","","False","351663111407","False","2026-06-30"
"KO","","","False","349662746110","True","2026-06-30"
"PG","","","False","341465754133","False","2026-06-30"
"SNDK","","","False","336716125457","False","2026-06-30"
"CVX","","","False","330127240056","False","2026-06-30"
"MS","","","False","329715618145","True","2026-06-30"
"MRK","","","False","317372437327","True","2026-06-30"
"GEV","","","False","315708373325","False","2026-06-30"
"NFLX","","","False","300793510949","False","2026-06-30"
"GS","","","False","298361655376","True","2026-06-30"
"PM","","","False","281958880829","True","2026-06-30"
"DELL","","","False","280017540000","True","2026-06-30"
"PLTR","","","False","279673507110","False","2026-06-30"
"PANW","","","False","277931300000","True","2026-06-30"
"TXN","","","False","271271358213","True","2026-06-30"
"IBM","","","False","264305139588","False","2026-06-30"
"MRVL","","","False","260594172000","True","2026-06-30"
"RTX","","","False","255506246794","True","2026-06-30"
"WFC","","","False","252894059784","False","2026-06-30"
"C","","","False","244834688499","True","2026-06-30"
"LIN","","","False","240061404768","True","2026-06-30"
"AXP","","","False","230796919344","True","2026-06-30"
"WDC","","","False","220155370712","True","2026-06-30"
"GLW","","","False","219832719639","True","2026-06-30"
"APH","","","False","216914937342","True","2026-06-30"
"STX","","","False","216380977280","True","2026-06-30"
"ANET","","","False","213913336498","True","2026-06-30"
"NVO","","","False","212223453628","False","2026-06-30"
