fired_at,ticker,signal_type,entry_price,side,bb_lower,bb_upper,touch_level,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent
2026-08-05 09:30:40.642929+00,AMZN,confluence_high,281.7100,short,91.754201,69.233162,83.977720,9.975714,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,ANET,confluence_high,212.0150,short,88.053180,67.636931,89.762730,9.920286,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,APH,confluence_high,173.5000,short,85.822312,81.085131,95.275354,7.930714,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,AVGO,confluence_high,421.6300,short,83.465924,72.832215,93.916291,17.422143,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,CSCO,confluence_high,124.0700,short,83.318393,66.427021,98.886569,3.445714,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,DAL,confluence_high,93.3050,short,87.459861,83.035986,90.252976,2.762857,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,DDOG,confluence_high,287.6550,short,85.946683,79.892964,96.649435,12.915571,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,ETN,confluence_high,445.8500,short,94.640560,74.267232,92.337206,20.831429,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,FCX,confluence_high,69.0800,short,82.228069,74.269260,95.358650,2.975714,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,GE,confluence_high,379.9000,short,90.360674,76.973934,96.290170,11.505714,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,GRMN,confluence_high,308.0950,short,93.741610,90.953708,96.548004,11.589286,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,HLT,confluence_low,312.0800,long,18.276990,28.631623,2.863535,8.197857,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,HPE,confluence_high,52.3500,short,83.693121,66.902607,89.866535,2.887786,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,JCI,confluence_high,153.4500,short,89.734368,77.735181,96.128319,5.051429,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,NTAP,confluence_high,189.5850,short,91.986443,88.616099,86.713996,6.750714,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,NUE,confluence_high,277.5950,short,81.832118,74.245036,99.144529,9.026429,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,TER,confluence_high,403.9800,short,80.491991,73.003057,94.543844,32.789286,16.5000,0.017896,{}
2026-08-05 09:30:40.642929+00,UAL,confluence_high,133.9700,short,86.348128,79.672540,94.339623,4.972857,16.5000,0.017896,{}
2026-08-05 09:36:29.180396+00,CAH,confluence_high,238.9550,short,85.209166,69.622413,85.640026,5.020000,16.5000,0.017896,{}
2026-08-05 09:36:29.180396+00,D,confluence_low,68.4500,long,12.961320,13.070158,25.787402,1.379286,16.5000,0.017896,{}
2026-08-05 09:36:29.180396+00,DTE,confluence_low,139.9700,long,14.252876,10.969045,19.303797,3.215714,16.5000,0.017896,{}
2026-08-05 09:36:29.180396+00,DUK,confluence_low,122.7000,long,15.615041,21.720741,22.764977,2.547143,16.5000,0.017896,{}
2026-08-05 09:36:29.180396+00,EMR,confluence_high,160.6600,short,94.893798,87.562904,97.531816,4.854286,16.5000,0.017896,{}
2026-08-05 09:41:56.516897+00,AEP,confluence_low,126.5300,long,16.583982,11.616816,20.194175,2.810714,16.5000,0.017896,{}
2026-08-05 09:52:27.045195+00,EME,confluence_high,834.1200,short,83.400518,75.689626,88.251446,38.558571,16.5000,0.017896,{}
2026-08-05 09:52:27.045195+00,PH,confluence_high,1004.4900,short,80.119214,63.712736,81.644949,26.249286,16.5000,0.017896,{}
2026-08-05 10:50:03.638923+00,ETR,confluence_low,106.6600,long,12.282715,6.622374,22.233105,2.792857,16.5000,0.017896,{}
2026-08-05 10:50:03.638923+00,GOOGL,confluence_high,382.0600,short,86.258460,65.388581,95.626333,13.864286,16.5000,0.017896,{}
2026-08-05 13:49:07.494694+00,BAC,confluence_high,63.5250,short,80.005456,74.624965,81.556196,1.067857,16.5000,0.017896,{}
